modell;operator;imei_kode;imei_slutt
Apple iPhone 15;Telia;SNC400;
Google PIxel 10 Pro;Telia;SNC400;
Google Pixel 10;Telia;SNC400;
Google Pixel 10 Pro Fold;Telia;SNC400;
Google Pixel 10 Pro XL;Telia;SNC400;
Google Pixel 9;Telia;SNC400;
Google Pixel 9 Pro;Telia;SNC400;
Google Pixel 9 Pro Fold;Telia;SNC400;
Google Pixel 9 Pro XL;Telia;SNC400;
Google Pixel 9a;Telia;SNC400;
Honor Magic 6 Pro;Telia;SNC400;
Honor Magic 7 Lite;Telia;SNC200;
Honor Magic 7 Pro;Telia;SNC400;
Honor Magic 8 Lite;Telia;SNC400;
Honor Magic 8 Pro;Telia;SNC400;
Honor Magic V5;Telia;SNC400;
Honor SNC200 Smart;Telia;SNC200;
Honor SNC400 Lite;Telia;SNC200;
Samsung A17 LTE;Telia;SNC200;
Samsung A36;Telia;SNC200;
Samsung A56;Telia;SNC200;
Samsung Galaxy Z Flip7;Telia;SNC400;
Samsung Galaxy Z Fold7;Telia;SNC400;
Samsung S24;Telia;SNC400;
Samsung S24 FE;Telia;SNC400;
Samsung S25;Telia;SNC400;
Samsung S25 Edge;Telia;SNC400;
Samsung S25 Ultra;Telia;SNC400;
Samsung S25+;Telia;SNC400;
