kode;operator;kategori;betegnelse;imei;abo_type;gyldig_fra;gyldig_til;merknad
TNFAST10GB;Telenor;abonnement;Telenor Fast 10GB;;;05.02.2025;;INGEN PROVISJON VED UTSTYRSENDRING AV 2G/3G TERMINALER.
TNFAST5GB;Telenor;abonnement;Telenor Fast 5GB;;;05.02.2025;;INGEN PROVISJON VED UTSTYRSENDRING AV 2G/3G TERMINALER.Provisjonering gjelder eldre portefølje
TNPLUSSEKS;Telenor;abonnement;Sikre Pluss Eksisterende Kunder;;;25/03/2026;;Endring til Sikre Pluss på eksisterende kunder kan gjøres uten IMEI registrering. 500,- pr.telefonnummer som flyttes til Sikre Pluss
TNPLUSSUTS;Telenor;abonnement;TELENOR Sikre Pluss Utstyrsendring / Nysalg;;;25/03/2026;;INGEN PROVISJON VED UTSTYRSENDRING AV 2G/3G TERMINALER.
TNSIKREEKS;Telenor;abonnement;Sikre Mobil Eksisterende Kunder;;;25/03/2026;;Endring til Sikre Mobil på eksisterende kunder kan gjøres uten IMEI registrering. 200,- pr.telefonnummer som flyttes til Sikre Mobil
TNSIKREU13;Telenor;abonnement;TELENOR Sikre Mobil U13 Utstyrsendring / Nysalg;;;25/03/2026;;INGEN PROVISJON VED UTSTYRSENDRING AV 2G/3G TERMINALER.
TNSIKREUTS;Telenor;abonnement;TELENOR Sikre Mobil Utstyrsendring / Nysalg;;;25/03/2026;;INGEN PROVISJON VED UTSTYRSENDRING AV 2G/3G TERMINALER.
TNUBEGENKEL;Telenor;abonnement;Telenor Ubegrenset Enkel;;A;05.02.2025;;INGEN PROVISJON VED UTSTYRSENDRING AV 2G/3G TERMINALER.
TNUBEGMAKS;Telenor;abonnement;Telenor Ubegrenset Maksimal;;A;05.02.2025;;INGEN PROVISJON VED UTSTYRSENDRING AV 2G/3G TERMINALER.
TNUBEGNORMAL;Telenor;abonnement;Telenor Ubegrenset Normal;;A;05.02.2025;;INGEN PROVISJON VED UTSTYRSENDRING AV 2G/3G TERMINALER. Provisjonering gjelder eldre portefølje
TNUBEGOPTIMAL;Telenor;abonnement;Telenor Ubegrenset Optimal;;A;05.02.2025;;INGEN PROVISJON VED UTSTYRSENDRING AV 2G/3G TERMINALER. Provisjonering gjelder eldre portefølje
STNMBBLNY;Telenor;mbb;Telenor mbb L u/binding. Gjelder kun ved nytegning;;;2022-03-07 00:00:00;;Ikke til modem/router
STNMBBMNY;Telenor;mbb;Telenor mbb M u/binding. Gjelder kun ved nytegning;;;2022-03-07 00:00:00;;Ikke til modem/router
STNMBBSNY;Telenor;mbb;Telenor mbb S u/binding. Gjelder kun ved nytegning;;;2022-03-07 00:00:00;;Ikke til modem/router
STNMBBXLNY;Telenor;mbb;Telenor mbb XL u/binding. Gjelder kun ved nytegning;;;2022-03-07 00:00:00;;Ikke til modem/router
STNMBBXXLNY;Telenor;mbb;Telenor mbb XXL u/binding. Gjelder kun ved nytegning;;;2022-03-07 00:00:00;;Ikke til modem/router
KLOKKESIM;Telenor;tilleggstjeneste;Tvilling-SIM til klokke;;;2023-09-01 00:00:00;;Gjelder kun ved registrering av IMEI på klokke i OneView
PLUSSFORSIK;Telenor;tilleggstjeneste;Plussforsikring;;;2019-03-06 00:00:00;;
PLUSSTAB;Telenor;tilleggstjeneste;Fullpris Plussforikring Tablet;;;2023-09-01 00:00:00;;NB! Kun ved salg av Tablet med IMEI
SPLITTPLUSS;Telenor;tilleggstjeneste;SPLITT Plussforsikring;;;2025-04-02 00:00:00;;
TELENOREKS;Telenor;tilleggstjeneste;Overdragelse av eksisterende abonnement til ny eier;;;;;
TNDEMO;Telenor;tilleggstjeneste;Telenor Ambassadør;;;;;INGEN PROVISJON VED UTSTYRSENDRING AV 2G/3G TERMINALER.
TNEKSTRASIM;Telenor;tilleggstjeneste;Telenor DataSIM (ikke tvilling) - inntjening på telecom;;;2023-06-06 00:00:00;;NB! Gjelder kun aktivering av DATA-SIM som ikke er inkludert i abonnement.
TNKLOKKEFOR;Telenor;tilleggstjeneste;Klokkeforsikring;;;2023-09-01 00:00:00;;NB! Kun ved salg av klokke med IMEI
TNSIKKERHET;Telenor;tilleggstjeneste;Telenor Sikkerhetssenter;;;;;Provisjon gjelder ved aktivering av Sikkerhetssenteret
TNSVINHUS;Telenor;tilleggstjeneste;SVINDELFORSIKRING HUSSTAND;;;1.11.23;;Ingen provisjon for salg av Svindelforsikring til kunder som har SAFE eller ID-tyveriforsikring
TEJR10GB;Telia;abonnement;TELIA JUNIOR 10GB uten avtaletid;NEI;C;2023-03-17 00:00:00;;EKSTRAKODER GJELDER IKKE PÅ DETTE ABONNEMENTET.
TEJR10GBAVT;Telia;abonnement;TELIA JUNIOR 10GB avtaletid eller svitsj;NEI;C;2023-03-17 00:00:00;;Salg med SVITSJ eller binding. Ingen IMEI støtte
